MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
MPXV-UK_P2-089	H1L	089-tyr_ser-protein-phosphatase	Tyr/Ser phosphatase, IFN-gamma inhibitor (Cop-H 1L); H1L; similar to Vaccinia virus strain Copenhagen H1L; tyrosine 
	NP_536518-H1L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_717408-tyr/ser-protein-phosphatase-[Taterapox-virus]	99.42(%id)	100.0(%cover)
	YP_010085555-Try/Ser-phosphatase-[Akhmeta-virus]	99.42(%id)	100.0(%cover)
	NP_619895-CPXV110-protein-[Cowpox-virus]	98.83(%id)	100.0(%cover)
	NP_671601-EVM083-[Ectromelia-virus]	98.83(%id)	100.0(%cover)
	YP_010085767-putative-H1L-protein-[Orthopoxvirus-Abatino]	98.83(%id)	100.0(%cover)
	NP_570487-CMLV097-[Camelpox-virus]	98.83(%id)	100.0(%cover)
	YP_232981-tyr/ser-protein-phosphatase-[Vaccinia-virus]	98.83(%id)	100.0(%cover)
	NP_042128-hypothetical-protein-VARVgp084-[Variola-virus]	98.83(%id)	100.0(%cover)
	YP_009282792-tyr/ser-phosphatase-[Skunkpox-virus]	93.57(%id)	100.0(%cover)
	YP_009143407-Tyr/Ser-phosphatase,-IFN-gamma-inhibitor-[Raccoonpox-virus]	92.40(%id)	100.0(%cover)
	YP_009281846-tyr/ser-phosphatase-[Volepox-virus]	93.57(%id)	100.0(%cover)
MPXV-UK_P2-090	H2R	090-putative-viral-membrane-protein	IMV membrane protein (Cop-H2R); H2R; similar to Vaccinia virus strain Copenhagen H2R 
	NP_042129-putative-viral-membrane-protein-[Variola-virus]	100.00(%id)	100.0(%cover)
	YP_717409-putative-viral-membrane-protein-[Taterapox-virus]	100.00(%id)	100.0(%cover)
	NP_536519-putative-viral-membrane-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232982-hypothetical-protein-VACWR100-[Vaccinia-virus]	99.47(%id)	100.0(%cover)
	NP_570488-putative-viral-membrane-protein-[Camelpox-virus]	99.47(%id)	100.0(%cover)
	NP_619896-CPXV111-protein-[Cowpox-virus]	98.94(%id)	100.0(%cover)
	NP_671602-putative-viral-membrane-protein-[Ectromelia-virus]	99.47(%id)	100.0(%cover)
	YP_010085768-putative-H2R-protein-[Orthopoxvirus-Abatino]	98.94(%id)	100.0(%cover)
	YP_010085556-putative-viral-membrane-protein-[Akhmeta-virus]	97.88(%id)	100.0(%cover)
	YP_009143408-Entry-fusion-complex-essential-component-[Raccoonpox-virus]	92.59(%id)	100.0(%cover)
	YP_009282793-entry-fusion-complex-essential-component-[Skunkpox-virus]	92.59(%id)	100.0(%cover)
	YP_009281847-entry-fusion-complex-essential-component-[Volepox-virus]	91.53(%id)	100.0(%cover)
MPXV-UK_P2-091	H3L	091-IMV-heparin-binding-surface-protein	IMV heparin binding surface protein (Cop-H3L); H3L; similar to Vaccinia virus strain Copenhagen H3L; IMV surface membrane protein 
	NP_536520-H3L-[Monkeypox-virus-Zaire-96-I-16]	99.38(%id)	100.0(%cover)
	YP_717410-IMV-heparin-binding-surface-protein-[Taterapox-virus]	96.59(%id)	99.7(%cover)
	YP_010085557-late-transcription-factor-VLTF-4-[Akhmeta-virus]	93.83(%id)	100.0(%cover)
	NP_570489-CMLV099-[Camelpox-virus]	95.08(%id)	100.0(%cover)
	YP_232983-IMV-heparin-binding-surface-protein-[Vaccinia-virus]	93.83(%id)	100.0(%cover)
	NP_042130-hypothetical-protein-VARVgp086-[Variola-virus]	93.85(%id)	100.0(%cover)
	NP_619897-CPXV112-protein-[Cowpox-virus]	94.74(%id)	99.7(%cover)
	NP_671603-EVM085-[Ectromelia-virus]	93.52(%id)	100.0(%cover)
	YP_010085769-putative-H3L-protein-[Orthopoxvirus-Abatino]	93.81(%id)	99.7(%cover)
MPXV-UK_P2-092	H4L	092-RAP94	RAP94 (RNA pol assoc protein) (Cop-H4L); H4L; similar to Vaccinia virus strain Copenhagen H4L; virion core RNA polymerase-associated protein, RAP94 
	NP_536521-H4L-[Monkeypox-virus-Zaire-96-I-16]	99.37(%id)	100.0(%cover)
	YP_010085770-putative-H4L-protein-[Orthopoxvirus-Abatino]	98.62(%id)	100.0(%cover)
	NP_619898-CPXV113-protein-[Cowpox-virus]	98.49(%id)	100.0(%cover)
	YP_232984-RAP94-[Vaccinia-virus]	98.24(%id)	100.0(%cover)
	NP_570490-CMLV100-[Camelpox-virus]	97.86(%id)	100.0(%cover)
	YP_717411-RNA-polymerase-subunit-RAP94-[Taterapox-virus]	97.74(%id)	100.0(%cover)
	YP_010085558-RNA-polymerase-associated-protein-[Akhmeta-virus]	97.48(%id)	100.0(%cover)
	NP_671604-EVM086-[Ectromelia-virus]	97.74(%id)	100.0(%cover)
	NP_042131-hypothetical-protein-VARVgp087-[Variola-virus]	97.11(%id)	100.0(%cover)
	YP_009143410-RAP94-[Raccoonpox-virus]	94.47(%id)	100.0(%cover)
	YP_009282795-rap94-[Skunkpox-virus]	94.72(%id)	100.0(%cover)
	YP_009281849-rap94-[Volepox-virus]	94.59(%id)	100.0(%cover)
MPXV-UK_P2-093	H5R	093-late-transcription-factor-VLTF-4	VLTF-4 (late transcription factor 4) (Cop-H5R); H5R; similar to Vaccinia virus strain Copenhagen H5R; virosome-associated late gene transcription factor, VLTF-4; Ca2+-binding motif 
	NP_536522-late-transcription-factor-VLTF-4-[Monkeypox-virus-Zaire-96-I-16]	98.59(%id)	100.0(%cover)
	YP_717412-late-transcription-factor-VLTF-4-[Taterapox-virus]	98.10(%id)	100.0(%cover)
	NP_671605-late-transcription-factor-VLTF-4-[Ectromelia-virus]	97.64(%id)	100.0(%cover)
	YP_010085559-late-transcription-factor-[Akhmeta-virus]	96.67(%id)	100.0(%cover)
	NP_042132-late-transcription-factor-VLTF-4-[Variola-virus]	92.31(%id)	100.0(%cover)
	YP_232985-morphogenesis-related,-substrate-of-B1R-kinase-[Vaccinia-virus]	91.33(%id)	93.3(%cover)
	YP_010085771-putative-H5R-protein-[Orthopoxvirus-Abatino]	94.90(%id)	93.3(%cover)
	NP_570491-late-transcription-factor-VLTF-4-[Camelpox-virus]	93.91(%id)	93.3(%cover)
	NP_619899-CPXV114-protein-[Cowpox-virus]	91.18(%id)	97.1(%cover)
MPXV-UK_P2-094	H6R	094-DNA-topoisomerase-type-I	DNA topoisomerase type I (Cop-H6R); H6R; similar to Vaccinia virus strain Copenhagen H6R; DNA topoisomerase 
	NP_536523-DNA-topoisomerase-type-I-[Monkeypox-virus-Zaire-96-I-16]	99.68(%id)	100.0(%cover)
	YP_232986-topoisomerase-type-IB-[Vaccinia-virus]	99.36(%id)	100.0(%cover)
	NP_570492-DNA-topoisomerase-type-I-[Camelpox-virus]	99.04(%id)	100.0(%cover)
	YP_010085772-putative-H6R-protein-[Orthopoxvirus-Abatino]	98.73(%id)	100.0(%cover)
	NP_619900-CPXV115-protein-[Cowpox-virus]	98.73(%id)	100.0(%cover)
	NP_042133-DNA-topoisomerase-type-I-[Variola-virus]	98.41(%id)	100.0(%cover)
	NP_671606-DNA-topoisomerase-type-I-[Ectromelia-virus]	98.73(%id)	100.0(%cover)
	YP_717413-DNA-topoisomerase-type-I-[Taterapox-virus]	98.41(%id)	100.0(%cover)
	YP_010085560-DNA-topoisomerase-type-1-[Akhmeta-virus]	97.13(%id)	100.0(%cover)
	YP_009282797-DNA-topoisomerase-type-I-[Skunkpox-virus]	95.86(%id)	100.0(%cover)
	YP_009281851-DNA-topoisomerase-type-I-[Volepox-virus]	93.95(%id)	100.0(%cover)
	YP_009143412-DNA-Topoisomerase-type-I-[Raccoonpox-virus]	93.95(%id)	100.0(%cover)
MPXV-UK_P2-095	H7R	095-H7R	Viral membrane assembly proteins (VMAP) (Cop-H7R); H7R; similar to Vaccinia virus strain Copenhagen H7R 
	NP_536524-H7R-[Monkeypox-virus-Zaire-96-I-16]	99.32(%id)	100.0(%cover)
	YP_010085773-putative-H7R-protein-[Orthopoxvirus-Abatino]	97.26(%id)	100.0(%cover)
	YP_232987-hypothetical-protein-VACWR105-[Vaccinia-virus]	97.26(%id)	100.0(%cover)
	YP_717414-hypothetical-protein-TATV_DAH68_107-[Taterapox-virus]	96.58(%id)	100.0(%cover)
	NP_570493-CMLV103-[Camelpox-virus]	95.89(%id)	100.0(%cover)
	NP_619901-CPXV117-protein-[Cowpox-virus]	95.89(%id)	100.0(%cover)
	NP_671607-EVM089-[Ectromelia-virus]	95.21(%id)	100.0(%cover)
	NP_042134-hypothetical-protein-VARVgp090-[Variola-virus]	94.52(%id)	100.0(%cover)
	YP_010085562-hypothetical-protein-KM542_gp114-[Akhmeta-virus]	93.06(%id)	98.6(%cover)
MPXV-UK_P2-096	E1R	096-mRNA-capping-enzyme-large-subunit	mRNA capping enzyme large subunit (Cop-D1R); E1R; similar to Vaccinia virus strain Copenhagen D1R; mRNA capping enzyme, large subunit; RNA 5' triphosphatase and RNA guanylyl transferase activities 
	NP_536525-E1R-[Monkeypox-virus-Zaire-96-I-16]	99.88(%id)	100.0(%cover)
	YP_232988-large-subunit-of-mRNA-capping-enzyme-[Vaccinia-virus]	98.93(%id)	100.0(%cover)
	YP_717415-large-subunit-of-mRNA-capping-enzyme-[Taterapox-virus]	98.93(%id)	100.0(%cover)
	NP_570494-CMLV104-[Camelpox-virus]	98.70(%id)	100.0(%cover)
	NP_619902-CPXV118-protein-[Cowpox-virus]	98.82(%id)	100.0(%cover)
	NP_671608-EVM090-[Ectromelia-virus]	98.93(%id)	100.0(%cover)
	YP_010085774-putative-D1R-protein-[Orthopoxvirus-Abatino]	98.58(%id)	100.0(%cover)
	NP_042135-hypothetical-protein-VARVgp091-[Variola-virus]	98.46(%id)	100.0(%cover)
	YP_010085563-mRNA-capping-enzyme-large-subunit-[Akhmeta-virus]	95.62(%id)	100.0(%cover)
	YP_009143414-mRNA-capping-enzyme-large-subunit-[Raccoonpox-virus]	91.83(%id)	100.0(%cover)
	YP_009282799-mRNA-capping-enzyme-large-subunit-[Skunkpox-virus]	92.19(%id)	100.0(%cover)
	YP_009281853-mRNA-capping-enzyme-large-subunit-[Volepox-virus]	91.95(%id)	100.0(%cover)
MPXV-UK_P2-097	E2L	097-virion-core-protein	Virion core (Cop-D2L); E2L; similar to Vaccinia virus strain Copenhagen D2L; virion core protein 
	NP_536526-E2L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_717416-virion-core-protein-[Taterapox-virus]	98.63(%id)	100.0(%cover)
	NP_042136-hypothetical-protein-VARVgp092-[Variola-virus]	97.95(%id)	100.0(%cover)
	NP_570495-CMLV106-[Camelpox-virus]	97.26(%id)	100.0(%cover)
	NP_619903-CPXV119-protein-[Cowpox-virus]	97.95(%id)	100.0(%cover)
	YP_010085775-putative-D2L-protein-[Orthopoxvirus-Abatino]	97.95(%id)	100.0(%cover)
	YP_232989-virion-core-protein-[Vaccinia-virus]	97.26(%id)	100.0(%cover)
	NP_671609-EVM091-[Ectromelia-virus]	97.26(%id)	100.0(%cover)
	YP_010085564-virion-core-protein-[Akhmeta-virus]	95.21(%id)	100.0(%cover)
	YP_009281854-virion-core-protein-[Volepox-virus]	92.47(%id)	100.0(%cover)
MPXV-UK_P2-098	E3R	098-virion-core-protein	Virion core (Cop-D3R); E3R; similar to Vaccinia virus strain Copenhagen D3R; virion core protein 
	NP_536527-E3R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619904-CPXV120-protein-[Cowpox-virus]	97.47(%id)	100.0(%cover)
	YP_010085776-putative-D3R-protein-[Orthopoxvirus-Abatino]	97.47(%id)	100.0(%cover)
	NP_671610-EVM092-[Ectromelia-virus]	97.05(%id)	100.0(%cover)
	YP_717417-virion-core-protein-[Taterapox-virus]	96.62(%id)	100.0(%cover)
	YP_232990-virion-core-protein-[Vaccinia-virus]	96.20(%id)	100.0(%cover)
	NP_570496-CMLV105-[Camelpox-virus]	96.62(%id)	100.0(%cover)
	YP_010085565-virion-core-protein-[Akhmeta-virus]	94.94(%id)	100.0(%cover)
	NP_042137-hypothetical-protein-VARVgp093-[Variola-virus]	94.94(%id)	100.0(%cover)
MPXV-UK_P2-099	E4R	099-uracil-DNA-glycosylase	Uracil-DNA glycosylase, DNA polymerase processi vity factor (Cop-D4R); E4R; similar to Vaccinia virus strain Copenhagen D4R; uracil DNA glycosylase 
	NP_536528-E4R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232991-uracil-DNA-glycosylase-[Vaccinia-virus]	98.62(%id)	100.0(%cover)
	YP_010085777-putative-D4R-protein-[Orthopoxvirus-Abatino]	98.62(%id)	100.0(%cover)
	NP_671611-EVM093-[Ectromelia-virus]	98.17(%id)	100.0(%cover)
	YP_010085566-Uracil-DNA-glycosylase-[Akhmeta-virus]	97.71(%id)	100.0(%cover)
	YP_717418-uracil-DNA-glycosylase-[Taterapox-virus]	97.71(%id)	100.0(%cover)
	NP_619905-CPXV121-protein-[Cowpox-virus]	96.79(%id)	100.0(%cover)
	NP_570497-CMLV107-[Camelpox-virus]	97.25(%id)	100.0(%cover)
	NP_042138-hypothetical-protein-VARVgp094-[Variola-virus]	96.79(%id)	100.0(%cover)
	YP_009143417-Uracil-DNA-glycosylase-[Raccoonpox-virus]	93.12(%id)	100.0(%cover)
	YP_009281856-uracil-DNA-glycosylase-[Volepox-virus]	92.66(%id)	100.0(%cover)
	YP_009282802-uracil-DNA-glycosylase-[Skunkpox-virus]	92.66(%id)	100.0(%cover)
MPXV-UK_P2-100	E5R	100-NTPase	NTPase, DNA primase (Cop-D5R); E5R; similar to Vaccinia virus strain Copenhagen D5R; nucleic acid-independent nucleoside triphosphatase 
	NP_536529-E5R-[Monkeypox-virus-Zaire-96-I-16]	99.87(%id)	100.0(%cover)
	YP_717419-NTPase-[Taterapox-virus]	99.62(%id)	100.0(%cover)
	YP_232992-NTPase-[Vaccinia-virus]	99.49(%id)	100.0(%cover)
	NP_570498-CMLV108-[Camelpox-virus]	99.24(%id)	100.0(%cover)
	YP_010085778-putative-D5R-protein-[Orthopoxvirus-Abatino]	99.36(%id)	100.0(%cover)
	NP_619906-CPXV122-protein-[Cowpox-virus]	98.98(%id)	100.0(%cover)
	YP_010085567-NTPase-[Akhmeta-virus]	99.11(%id)	100.0(%cover)
	NP_671612-EVM094-[Ectromelia-virus]	98.98(%id)	100.0(%cover)
	NP_042139-hypothetical-protein-VARVgp095-[Variola-virus]	98.60(%id)	100.0(%cover)
	YP_009282803-NTPase-[Skunkpox-virus]	96.05(%id)	100.0(%cover)
	YP_009143418-NTPase-[Raccoonpox-virus]	95.54(%id)	100.0(%cover)
	YP_009281857-NTPase-[Volepox-virus]	95.67(%id)	100.0(%cover)
MPXV-UK_P2-101	E6R	101-morph	Morphogenesis, VETF-s (early transcription factor small) (Cop-D6R); E6R; similar to Vaccinia virus strain Copenhagen D6R; early transcription factor, VETF, small subunit 
	NP_536530-E6R-[Monkeypox-virus-Zaire-96-I-16]	99.53(%id)	100.0(%cover)
	NP_619907-CPXV123-protein-[Cowpox-virus]	99.37(%id)	100.0(%cover)
	YP_232993-70kDa-small-subunit-of-early-gene-transcription-factor-VETF-[Vaccinia-virus]	99.37(%id)	100.0(%cover)
	YP_010085779-putative-D6R-protein-[Orthopoxvirus-Abatino]	99.22(%id)	100.0(%cover)
	NP_042140-hypothetical-protein-VARVgp096-[Variola-virus]	99.06(%id)	100.0(%cover)
	YP_717420-70kDa-small-subunit-of-early-transcription-initiation-factor-VETF-[Taterapox-virus]	98.90(%id)	100.0(%cover)
	NP_671613-EVM095-[Ectromelia-virus]	98.90(%id)	100.0(%cover)
	NP_570499-CMLV109-[Camelpox-virus]	98.59(%id)	100.0(%cover)
	YP_010085568-early-transcription-factor-[Akhmeta-virus]	98.27(%id)	100.0(%cover)
	YP_009281858-morph-[Volepox-virus]	96.86(%id)	100.0(%cover)
	YP_009282804-morph-[Skunkpox-virus]	96.39(%id)	100.0(%cover)
	YP_009143419-VETF-[Raccoonpox-virus]	96.39(%id)	100.0(%cover)
MPXV-UK_P2-102	E7R	102-DNA-dependent-RNA-polymerase-subunit-rpo18	RNA polymerase subunit (RPO18) (Cop-D7R); E7R; similar to Vaccinia virus strain Copenhagen D7R; RNA polymerase, 18 kDa subunit 
	NP_536531-E7R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_570500-CMLV110-[Camelpox-virus]	98.76(%id)	100.0(%cover)
	NP_671614-EVM096-[Ectromelia-virus]	98.14(%id)	100.0(%cover)
	YP_010085569-RNA-polymerase-subunit-RPO18-[Akhmeta-virus]	97.52(%id)	100.0(%cover)
	YP_232994-DNA-dependent-RNA-polymerase-subunit-rpo18-[Vaccinia-virus]	97.52(%id)	100.0(%cover)
	YP_010085780-putative-D7R-protein-[Orthopoxvirus-Abatino]	97.52(%id)	100.0(%cover)
	YP_717421-DNA-dependent-RNA-polymerase-subunit-rpo18-[Taterapox-virus]	96.89(%id)	100.0(%cover)
	NP_619908-CPXV124-protein-[Cowpox-virus]	96.89(%id)	100.0(%cover)
	NP_042141-hypothetical-protein-VARVgp097-[Variola-virus]	96.89(%id)	100.0(%cover)
	YP_009281859-RNA-polymerase-[Volepox-virus]	95.03(%id)	100.0(%cover)
	YP_009143420-RNA-polymerase-subunit-[Raccoonpox-virus]	95.03(%id)	100.0(%cover)
	YP_009282805-RNA-polymerase-[Skunkpox-virus]	92.55(%id)	100.0(%cover)
MPXV-UK_P2-103	E8L	103-IMV-membrane-protein	Carbonic anhydrase, GAG-binding IMV membrane protein (Cop-D8L); E8L; similar to Vaccinia virus strain Copenhagen D8L; IMV surface membrane 32 kDa protein; binding to cell surface chondroitin sulfate; IMV adsorption to cell surface 
	NP_536532-E8L-[Monkeypox-virus-Zaire-96-I-16]	99.67(%id)	100.0(%cover)
	NP_619909-CPXV125-protein-[Cowpox-virus]	97.37(%id)	100.0(%cover)
	NP_671615-EVM097-[Ectromelia-virus]	95.72(%id)	100.0(%cover)
	YP_010085781-putative-D8L-protein-[Orthopoxvirus-Abatino]	95.39(%id)	100.0(%cover)
	YP_717422-IMV-membrane-protein-[Taterapox-virus]	95.39(%id)	100.0(%cover)
	YP_232995-IMV-membrane-protein-[Vaccinia-virus]	94.41(%id)	100.0(%cover)
	YP_010085570-IMV-membrane-protein-[Akhmeta-virus]	93.75(%id)	100.0(%cover)
	NP_042142-hypothetical-protein-VARVgp098-[Variola-virus]	93.09(%id)	100.0(%cover)
	NP_570501-CMLV111-[Camelpox-virus]	93.09(%id)	100.0(%cover)
MPXV-UK_P2-104	E9R	104-E9R	mRNA decapping enzyme (Cop-D9R); E9R; similar to Vaccinia virus strain Copenhagen D9R; Mut-like 
	NP_536533-E9R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232996-contains-mutT-like-motif-of-NTP-phosphohydrolase-for-DNA-repair-[Vaccinia-virus]	97.65(%id)	100.0(%cover)
	NP_619910-CPXV126-protein-[Cowpox-virus]	97.65(%id)	100.0(%cover)
	NP_042143-hypothetical-protein-VARVgp099-[Variola-virus]	97.18(%id)	100.0(%cover)
	YP_717423-hypothetical-protein-TATV_DAH68_116-[Taterapox-virus]	97.18(%id)	100.0(%cover)
	YP_010085782-putative-D9R-protein-[Orthopoxvirus-Abatino]	97.18(%id)	100.0(%cover)
	NP_671616-EVM098-[Ectromelia-virus]	97.18(%id)	100.0(%cover)
	YP_010085571-mRNA-decapping-enzyme-[Akhmeta-virus]	96.71(%id)	100.0(%cover)
	NP_570502-CMLV112-[Camelpox-virus]	97.18(%id)	100.0(%cover)
MPXV-UK_P2-105	E10R	105-mRNA-decapping-enzyme	mRNA decapping enzyme (Cop-D10R); E10R; similar to Vaccinia virus strain Copenhagen D10R; down regulation of gene expression; Mut-like 
	NP_536534-E10R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232997-contains-mutT-like-motif-of-NTP-phosphohydrolase-for-DNA-repair-[Vaccinia-virus]	98.79(%id)	100.0(%cover)
	YP_717424-hypothetical-protein-TATV_DAH68_117-[Taterapox-virus]	98.39(%id)	100.0(%cover)
	NP_570503-CMLV113-[Camelpox-virus]	97.98(%id)	100.0(%cover)
	NP_619911-CPXV127-protein-[Cowpox-virus]	97.98(%id)	100.0(%cover)
	NP_042144-hypothetical-protein-VARVgp100-[Variola-virus]	97.98(%id)	100.0(%cover)
	YP_010085572-mRNA-decapping-enzyme-[Akhmeta-virus]	97.97(%id)	99.2(%cover)
	YP_010085783-putative-D10R-protein-[Orthopoxvirus-Abatino]	97.56(%id)	99.2(%cover)
	NP_671617-EVM099-[Ectromelia-virus]	97.15(%id)	99.2(%cover)
	YP_009282808-mRNA-decapping-enzyme-[Skunkpox-virus]	90.61(%id)	98.8(%cover)
MPXV-UK_P2-106	E11L	106-ATPase	ATPase, NPH1 (Cop-D11L); E11L; similar to Vaccinia virus strain Copenhagen D11L; nucleoside triphosphate phosphohydrolase I, NPH I; DNA-dependent ATPase; early gene transcription termination factor 
	NP_619912-CPXV128-protein-[Cowpox-virus]	99.21(%id)	100.0(%cover)
	YP_010085784-putative-D11L-protein-[Orthopoxvirus-Abatino]	99.21(%id)	100.0(%cover)
	NP_536535-E11L-[Monkeypox-virus-Zaire-96-I-16]	99.52(%id)	100.0(%cover)
	YP_232998-ATPase,-nucleoside-triphosphate-phosphohydrolase-I,-NPH-I-[Vaccinia-virus]	99.05(%id)	100.0(%cover)
	YP_717425-ATPase-[Taterapox-virus]	98.57(%id)	100.0(%cover)
	NP_042145-hypothetical-protein-VARVgp101-[Variola-virus]	98.57(%id)	100.0(%cover)
	NP_671618-EVM100-[Ectromelia-virus]	98.26(%id)	100.0(%cover)
	YP_010085573-helicase-[Akhmeta-virus]	98.42(%id)	100.0(%cover)
	NP_570504-CMLV114-[Camelpox-virus]	98.10(%id)	100.0(%cover)
	YP_009143424-nucleoside-triphosphate-phosphohydrolase-I-[Raccoonpox-virus]	94.77(%id)	100.0(%cover)
	YP_009281863-ATPase-[Volepox-virus]	94.45(%id)	100.0(%cover)
	YP_009282809-ATPase-[Skunkpox-virus]	94.14(%id)	100.0(%cover)
MPXV-UK_P2-107	E12L	107-mRNA-capping-enzyme-small-subunit	mRNA capping enzyme small subunit (Cop-D12L); E12L; similar to Vaccinia virus strain Copenhagen D12L; mRNA capping enzyme, small subunit; mRNA (guanine-N7-)-methyl-transferase; transcription initiation factor 
	NP_536536-E12L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619913-CPXV129-protein-[Cowpox-virus]	98.95(%id)	100.0(%cover)
	YP_010085785-putative-D12L-protein-[Orthopoxvirus-Abatino]	98.61(%id)	100.0(%cover)
	NP_671619-EVM101-[Ectromelia-virus]	98.61(%id)	100.0(%cover)
	YP_232999-small-subunit-of-mRNA-capping-enzyme-[Vaccinia-virus]	98.61(%id)	100.0(%cover)
	NP_042146-hypothetical-protein-VARVgp102-[Variola-virus]	98.61(%id)	100.0(%cover)
	YP_010085574-mRNA-capping-enzyme-small-subunit-[Akhmeta-virus]	98.26(%id)	100.0(%cover)
	NP_570505-CMLV115-[Camelpox-virus]	98.61(%id)	100.0(%cover)
	YP_717426-small-subunit-of-mRNA-capping-enzyme-[Taterapox-virus]	98.61(%id)	100.0(%cover)
	YP_009281864-mRNA-capping-enzyme-small-subunit-[Volepox-virus]	95.12(%id)	100.0(%cover)
	YP_009282810-mRNA-capping-enzyme-small-subunit-[Skunkpox-virus]	94.77(%id)	100.0(%cover)
	YP_009143425-mRNA-capping-enzyme-protein-small-subunit-[Raccoonpox-virus]	94.08(%id)	100.0(%cover)
MPXV-UK_P2-108	E13L	108-trimeric-virion-coat-protein	Trimeric virion coat protein (rifampicin res) (Cop-D13L); E13L; similar to Vaccinia virus strain Copenhagen D13L; protein needed for the formation of immature IMV surface membrane 
	NP_536537-E13L-[Monkeypox-virus-Zaire-96-I-16]	99.64(%id)	100.0(%cover)
	YP_717427-hypothetical-protein-TATV_DAH68_120-[Taterapox-virus]	99.27(%id)	100.0(%cover)
	YP_233000-rifampicin-target-[Vaccinia-virus]	98.91(%id)	100.0(%cover)
	NP_619914-CPXV131-protein-[Cowpox-virus]	98.73(%id)	100.0(%cover)
	NP_570506-CMLV116-[Camelpox-virus]	98.91(%id)	100.0(%cover)
	YP_010085786-putative-D13L-protein-[Orthopoxvirus-Abatino]	98.91(%id)	100.0(%cover)
	NP_042147-hypothetical-protein-VARVgp103-[Variola-virus]	98.91(%id)	100.0(%cover)
	YP_010085576-trimeric-virion-coat-protein-[Akhmeta-virus]	98.19(%id)	100.0(%cover)
	NP_671620-EVM102-[Ectromelia-virus]	98.73(%id)	100.0(%cover)
	YP_009281865-trimeric-virion-coat-protein-[Volepox-virus]	94.74(%id)	100.0(%cover)
	YP_009282811-trimeric-virion-coat-protein-[Skunkpox-virus]	94.56(%id)	100.0(%cover)
	YP_009143426-Trimeric-virion-coat-protein-(rifampicin-res)-[Raccoonpox-virus]	93.65(%id)	100.0(%cover)
MPXV-UK_P2-109	A1L	109-late-transcription-factor-VLTF-2	VLTF-2 (late transcription factor 2) (Cop-A1L); A1L; similar to Vaccinia virus strain Copenhagen A1L; late gene transcription factor, VLTF-2 
	NP_042148-late-transcription-factor-VLTF-2-[Variola-virus]	100.00(%id)	100.0(%cover)
	NP_536538-late-transcription-factor-VLTF-2-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_717428-late-transcription-factor-VLTF-2-[Taterapox-virus]	99.33(%id)	100.0(%cover)
	NP_570507-late-transcription-factor-VLTF-2-[Camelpox-virus]	98.67(%id)	100.0(%cover)
	YP_233001-late-gene-transcription-factor-VLTF-2-[Vaccinia-virus]	98.67(%id)	100.0(%cover)
	YP_010085787-putative-A1L-protein-[Orthopoxvirus-Abatino]	98.00(%id)	100.0(%cover)
	NP_671621-late-transcription-factor-VLTF-2-[Ectromelia-virus]	98.00(%id)	100.0(%cover)
	NP_619915-CPXV132-protein-[Cowpox-virus]	98.00(%id)	100.0(%cover)
	YP_010085577-late-transcription-factor-VLTF-2-[Akhmeta-virus]	97.33(%id)	100.0(%cover)
	YP_009143427-VLTF-2-[Raccoonpox-virus]	93.33(%id)	100.0(%cover)
	YP_009282812-vltf-2-[Skunkpox-virus]	92.67(%id)	100.0(%cover)
	YP_009281866-vltf-2-[Volepox-virus]	91.33(%id)	100.0(%cover)
MPXV-UK_P2-110	A2L	110-late-transcription-factor-VLTF-3	VLTF-3 (late transcription factor 3) (Cop-A2L); A2L; similar to Vaccinia virus strain Copenhagen A2L; late gene transcription factor, VLTF-3; zinc binding 
	NP_536539-late-transcription-factor-VLTF-3-[Monkeypox-virus-Zaire-96-I-16]	99.55(%id)	100.0(%cover)
	YP_233002-late-gene-transcription-factor-VLTF-3-[Vaccinia-virus]	99.55(%id)	100.0(%cover)
	NP_042149-late-transcription-factor-VLTF-3-[Variola-virus]	99.55(%id)	100.0(%cover)
	YP_717429-late-transcription-factor-VLTF-3-[Taterapox-virus]	99.55(%id)	100.0(%cover)
	YP_010085788-putative-A2L-protein-[Orthopoxvirus-Abatino]	99.55(%id)	100.0(%cover)
	NP_619916-CPXV133-protein-[Cowpox-virus]	99.11(%id)	100.0(%cover)
	YP_010085578-late-transcription-factor-VLTF-3-[Akhmeta-virus]	98.66(%id)	100.0(%cover)
	YP_009281867-vltf-3-[Volepox-virus]	98.66(%id)	100.0(%cover)
